,0,1.00000,2.00000,3
0,도봉구 창5동주민센터 - 서울 도봉구 도봉로136나길 20,37.65625,127.04357,도봉구
1,강서구 강서구청 후문 주차장 - 서울 강서구 화곡로 302 강서구청,37.55091,126.84957,강서구
2,동작구 상도4동 주민센터 - 서울 동작구 양녕로27길 44,37.49936,126.94132,동작구
3,동작구 노량진2동 주민센터 - 서울 동작구 장승배기로19길 48 노량진2동 주민센터,37.50851,126.93731,동작구
4,동작구 상도3동 주민센터 - 서울 동작구 성대로2길 11 상도3동 주민센터,37.49907,126.93136,동작구
5,강동구 강동구민회관 - 서울 강동구 상암로 168 강동구민회관,37.54573,127.14120,강동구
6,양천구 목3동 시장지원센터 - 서울특별시 양천구 목동중앙북로6길 5,37.54813,126.86518,양천구
7,양천구 목3동 행정복지센터 정문 - 서울 양천구 목동중앙남로16나길 55 목3동주민센터,37.54470,126.86443,양천구
8,송파구 소리공원 - 서울특별시 송파구 문정동 319-1,37.48051,127.11886,송파구
9,송파구 석촌호수 아뜰리에 화장실 - 서울특별시 송파구 석촌호수로 191,37.50924,127.09915,송파구
10,중구 다산동 주민센터 - 서울 중구 동호로15길 50 다산동주민센터,37.55431,127.00825,중구
11,"성동구 세븐일레븐 도선까페점 - 서울특별시 성동구 왕십리로 326, 1층",37.56272,127.03389,성동구
12,강동구 암사유적박물관 - 서울 강동구 올림픽로 875 서울 암사동 유적,37.55968,127.12808,강동구
13,관악구 대학동주민센터 - 서울 관악구 신림로 111 대학동주민센터,37.47060,126.93695,관악구
14,송파구 세븐일레븐 롯데월드몰 수족관점 - 서울 송파구 올림픽로 300 롯데월드몰 지하 1층 GATE20,37.51357,127.10354,송파구
15,강서구 강서구민회관 - 서울 강서구 우장산로 66 강서구민회관,37.55337,126.84374,강서구
16,강서구 가양레포츠센터 - 서울 강서구 가양동 1493,37.55964,126.86441,강서구
17,관악구 낙성대동주민센터 - 서울특별시 관악구 낙성대로4가길 5 낙성대동주민센터,37.47631,126.95849,관악구
18,강동구 샘터공원 배드민턴장 - 서울특별시 강동구 동남로 990,37.56207,127.15773,강동구
19,영등포구 여의도공원 - 서울특별시 영등포구 여의도동 여의도공원 6번출입구 앞,37.52382,126.91892,영등포구
20,중랑구 면목역공원 - 서울특별시 중랑구 면목동 면목역 3번출구,37.58951,127.08590,중랑구
21,중랑구 망우역 - 서울특별시 중랑구 망우로55길 11-10 망우역 앞,37.59812,127.09279,중랑구
22,강동구 성일초등학교 - 서울특별시 강동구 성내로15길 33 성일스포츠센터 앞,37.52917,127.12837,강동구
23,광진구 광진광장 - 서울특별시 광진구 광나루로 389 광진광장,37.54771,127.07357,광진구
24,광진구 구의3동주민센터 - 서울특별시 광진구 강변역로 17 구의3동 복합청사,37.53807,127.09188,광진구
